SMILES,HIA
CC(=O)NCC1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,+
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O,+
CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,+
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,+
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,+
ClCCN(N=O)C(=O)NC1CCCCC1,+
OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,+
CC(C)N1CCC(CC1)N(C(=O)Cc1ccccc1)c1ccc(Cl)cc1,+
CN1c2ccc(Cl)cc2C(=NC(O)C1=O)c1ccccc1Cl,+
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,+
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,+
CCCCCN(CCCOC)C(=O)C(CCC(O)=O)NC(=O)c1ccc(Cl)c(Cl)c1,+
CC(C(O)=O)c1ccc(CC2CCCC2=O)cc1,+
CC12CCC3C(CCC4=CCCCC34)C1CCC2(O)C#C,+
CNCCCC12CCC(c3ccccc13)c1ccccc21,+
OC1(N2CCN=C2c2ccccc12)c1ccc(Cl)cc1,+
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,+
Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl,+
Cc1cccc(Nc2ccccc2C(O)=O)c1C,+
NC(=N)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(O)=O)C2CCCCC2)cc1,-
CN1C(C(=O)Nc2ncc(C)s2)=C(O)c2ccccc2S1(=O)=O,+
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,+
CC(C)NCC(O)COc1cccc2[nH]c(C)cc12,+
CCC1(CCCCN(C)C1)c1cccc(O)c1,+
S=c1nc[nH]c2[nH]cnc12,+
CC(O)C1C2C(C)C(SC3CCC(N3)C(=O)N(C)C)=C(N2C1=O)C(O)=O,-
Nc1ccc(O)c(c1)C(O)=O,+
OS(=O)(=O)CCS,+
COc1ccc2C3CCC4(C)C(CCC4(O)C#C)C3CCc2c1,+
CC(C)NCC(O)c1cc(O)cc(O)c1,+
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,+
Cn1cc[nH]c1=S,+
COc1ccccc1OCC(O)COC(N)=O,+
COc1cccc(CC(C)N)c1,+
CN1C(=O)CC(C)(C1=O)c1ccccc1,+
CCC(CO)NC(=O)C1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,+
COC(=O)C(C1CCCCN1)c1ccccc1,+
CCC1(C(=O)NC(=O)N(C)C1=O)c1ccccc1,+
C[N+]1(C)C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,-
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,+
CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O,+
COCCc1ccc(OCC(O)CNC(C)C)cc1,+
Cc1ncc(n1CCO)[N+]([O-])=O,+
CC(C)(C(=O)c1cccnc1)c1cccnc1,+
CC(N)COc1c(C)cccc1C,+
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(C3=O)S(C)(=O)=O)c3ccccc3)C(=O)N2C1C(O)=O,-
CN1CCN2C(C1)c1ccccc1Cc1ccccc21,+
CCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,+
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,+
CN(C)c1ccc(cc1)C1CC2(C)C(CCC2(O)C#C)C2CCC3CC(=O)CCC3=C12,+
COP(=O)(CC(c1ccc(Cl)cc1)P(=O)(OC)OC)OC,+
CCCCN1CC(O)C(O)C(O)C1CO,+
CCN(CC)C(=O)C1(CC1CN)c1ccccc1,+
Cc1[nH]c(=O)c(cc1-c1ccncc1)C#N,+
CN(C)C1C2CC3Cc4c(ccc(O)c4C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O)N(C)C,+
Nc1nc(cc[n+]1[O-])N1CCCCC1,+
CN1CCN2C(C1)c1ccccc1Cc1cccnc21,+
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,+
COc1cc2CC[N+](C)(CCCOC(=O)CCC=CCCC(=O)OCCC[N+]3(C)CCc4cc(OC)c(OC)cc4C3Cc3cc(OC)c(OC)c(OC)c3)C(Cc3cc(OC)c(OC)c(OC)c3)c2cc1OC,-
Clc1ccc(cc1)C(=O)NCCN1CCOCC1,+
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,+
CCOC(=O)Nc1c[n+](no1)N1CCOCC1,+
CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN3CCOCC3)c2c1,+
COC1(NC(=O)C(C(O)=O)c2ccc(O)cc2)C2OCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O,-
COc1c2C(NC3CC3)C=C(C(O)=O)C(=O)c2cc(F)c1N1CC2CCCNC2C1,+
CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,+
COc1nc(C)nc(Cl)c1NC1=NCCN1,+
COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(O)=O,+
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,+
COc1ccc2cc(CCC(C)=O)ccc2c1,+
CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](CC2=CC3=CC=CC=C3C=C2)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8  ,-
CCN(CC)CCOC(=O)C(CC1CCCO1)Cc1ccc2ccccc2c1,+
CCN1CC(C(O)=O)C(=O)c2ccc(C)nc12,+
Oc1ccc2CC3N(CC=C)CCC45C(Oc1c24)C(=O)CCC35O,+
Oc1ccc2CC3N(CC4CC4)CCC45C(Oc1c24)C(=O)CCC35O,+
COc1ccc2cc(ccc2c1)C(C)C(O)=O,+
CNS(=O)(=O)CCc1ccc2[nH]c(cc2c1)C1CCN(C)CC1,+
CC(C)C1CCC(CC1)C(=O)NC(Cc1ccccc1)C(O)=O,+
CCCc1c2oc(cc(=O)c2cc2c1n(CC)c(cc2=O)C(O)=O)C(O)=O,-
CCc1nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c(=O)n1CCOc1ccccc1,+
CN1CCOC(c2ccccc2)c2ccccc2C1,+
NCC1OC(COC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,-
CCNC1CC(N)C(OC2CC(N)C=C(CN)O2)C(O)C1OC1OCC(C)(O)C(NC)C1O,-
CC#Cc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O,-
Cc1ccnc2n(C3CC3)c3ncccc3c(=O)[nH]c12,+
OC(=O)c1cccnc1,+
[O-][N+](=O)OCCNC(=O)c1cccnc1,+
CN1CCCC1c1cccnc1,+
CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,+
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,+
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1[N+]([O-])=O)C(=O)OCC(C)C,+
[O-][N+](=O)c1cc(ccc1C(=O)C1C(=O)CCCC1=O)C(F)(F)F,+
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,+
Oc1ccc([N+]([O-])=O)c2cccnc12,+
CN1CC(c2ccccc2)c2cccc(N)c2C1,+
CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,+
CC(N)Cc1cccc(c1)C(F)(F)F,+
CCC12C=CC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,+
CNCCC=C1c2ccccc2CCc2ccccc12,+
C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O  ,-
CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,+
OC(=O)c1cc(ccc1O)N=Nc1ccc(O)c(c1)C(O)=O,-
COc1ccc2[nH]c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C,+
Cn1c2CCC(Cn3ccnc3)C(=O)c2c2ccccc12,+
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,-
CN(C)CCOC(c1ccccc1)c1ccccc1C,+
CC(C)NCC1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,+
CC1(O)CCC2C3CCC4CC(=O)OCC4(C)C3CCC12C,+
OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1,+
O=c1[nH]c2ccccc2n1CCCN1CCN(CC1)C(c1ccccc1)c1ccccc1,+
OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,+
NC(=O)N1c2ccccc2CC(=N)c2ccccc12,+
CC[N+]1(C)C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,-
CC(C)NCC(O)COc1ccccc1OCC=C,+
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c1ccccc1,+
COc1ccc2CC3N(C)CCC45C(Oc1c24)C(=O)CCC35O,+
COc1cccc(c1)C(=O)CCNC(C)C(O)c1ccccc1,+
CCCCC1C(=O)N(N(C1=O)c1ccc(O)cc1)c1ccccc1,+
O=C1N(CC2CCCc3cccc1c23)C1CN2CCC1CC2,+
NCCC(O)(P(O)(O)=O)P(O)(O)=O,-
CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,-
COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,+
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,+
CC(C=CC(C)C(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1,+
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,-
Fc1ccc(cc1)C1CCNCC1COc1ccc2OCOc2c1,+
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1,+
Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,+
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,+
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,-
CC1(C)SC2C(CC(=O)Cc3ccccc3)C(=O)N2C1C(O)=O,+
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(O)=O,+
NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1,-
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC=C(C)C,+
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,+
CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,+
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,+
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,+
NC(=O)NC(=O)Cc1ccccc1,+
